LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.491, Time: 6.249459 s
         1423215 function calls (1408898 primitive calls) in 7.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      330    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      603    0.011    0.000    0.183    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      443    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      568    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      330    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      284    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      330    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      852    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    284/4    0.002    0.000    1.213    0.303 <frozen importlib._bootstrap_external>:877(exec_module)
      284    0.004    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       35    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      568    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        2    0.000    0.000    0.008    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
